Tiempo ,Entrada,ANGULO,POSICION
5.98,0.0,-0.469,0.266
6.0,0.0,-0.429,0.266
6.02,0.0,-0.382,0.266
6.04,0.0,-0.33,0.266
6.06,0.0,-0.272,0.266
6.08,0.0,-0.211,0.266
6.1,0.0,-0.148,0.266
6.12,0.0,-0.082,0.266
6.14,0.0,-0.016,0.266
6.16,0.0,0.052,0.266
6.18,0.0,0.119,0.266
6.2,0.0,0.183,0.266
6.22,0.0,0.244,0.266
6.24,0.0,0.304,0.266
6.26,0.0,0.358,0.266
6.28,0.0,0.408,0.266
6.3,0.0,0.452,0.266
6.32,0.0,0.489,0.266
6.34,0.0,0.52,0.266
6.36,0.0,0.543,0.266
6.38,0.0,0.559,0.266
6.4,0.0,0.565,0.266
6.42,0.0,0.567,0.266
6.44,0.0,0.559,0.266
6.46,0.0,0.543,0.266
6.48,0.0,0.518,0.266
6.5,0.0,0.489,0.266
6.52,0.0,0.45,0.266
6.54,0.0,0.407,0.266
6.56,0.0,0.356,0.266
6.58,0.0,0.3,0.266
6.6,0.0,0.243,0.266
6.62,0.0,0.18,0.266
6.64,0.0,0.115,0.266
6.66,0.0,0.049,0.266
6.68,0.0,-0.019,0.266
6.7,0.0,-0.086,0.266
6.72,0.0,-0.152,0.266
6.74,0.0,-0.215,0.266
6.76,0.0,-0.274,0.266
6.78,0.0,-0.33,0.266
6.8,0.0,-0.382,0.266
6.82,0.0,-0.429,0.266
6.84,0.0,-0.468,0.266
6.86,0.0,-0.503,0.266
6.88,0.0,-0.529,0.266
6.9,0.0,-0.548,0.266
6.92,0.0,-0.559,0.266
6.94,0.0,-0.562,0.266
6.96,0.0,-0.559,0.266
6.98,0.0,-0.546,0.266
7.0,0.0,-0.525,0.266
7.02,0.0,-0.497,0.266
7.04,0.0,-0.464,0.266
7.06,0.0,-0.422,0.266
7.08,0.0,-0.375,0.266
7.1,0.0,-0.323,0.266
7.12,0.0,-0.265,0.266
7.14,0.0,-0.206,0.266
7.16,0.0,-0.141,0.266
7.18,0.0,-0.077,0.266
7.2,0.0,-0.01,0.266
7.22,0.0,0.058,0.266
7.24,0.0,0.124,0.266
7.26,0.0,0.187,0.266
7.28,0.0,0.25,0.266
7.3,0.0,0.307,0.266
7.32,0.0,0.361,0.266
7.34,0.0,0.408,0.266
7.36,0.0,0.452,0.266
7.38,0.0,0.489,0.266
7.4,0.0,0.518,0.266
7.42,0.0,0.541,0.266
7.44,0.0,0.555,0.266
7.46,0.0,0.562,0.266
7.48,0.0,0.564,0.266
7.5,0.0,0.553,0.266
7.52,0.0,0.538,0.266
7.54,0.0,0.513,0.266
7.56,0.0,0.482,0.266
7.58,0.0,0.443,0.266
7.6,0.0,0.4,0.266
7.62,0.0,0.349,0.266
7.64,0.0,0.295,0.266
7.66,0.0,0.236,0.266
7.68,0.0,0.173,0.266
7.7,0.0,0.108,0.266
7.72,0.0,0.042,0.266
7.74,0.0,-0.024,0.266
7.76,0.0,-0.091,0.266
7.78,0.0,-0.155,0.266
7.8,0.0,-0.218,0.266
7.82,0.0,-0.278,0.266
7.84,0.0,-0.333,0.266
7.86,0.0,-0.384,0.266
7.88,0.0,-0.429,0.266
7.9,0.0,-0.468,0.266
7.92,0.0,-0.501,0.266
7.94,0.0,-0.527,0.266
7.96,0.0,-0.545,0.266
7.98,0.0,-0.555,0.266
8.0,0.0,-0.559,0.266
8.02,0.0,-0.553,0.266
8.04,0.0,-0.541,0.266
8.06,0.0,-0.52,0.266
8.08,0.0,-0.492,0.266
8.1,0.0,-0.457,0.266
8.12,0.0,-0.415,0.266
8.14,0.0,-0.37,0.266
8.16,0.0,-0.316,0.266
8.18,0.0,-0.26,0.266
8.2,0.0,-0.199,0.266
8.22,0.0,-0.134,0.266
8.24,0.0,-0.07,0.266
8.26,0.0,-0.003,0.266
8.28,0.0,0.063,0.266
8.3,0.0,0.127,0.266
8.32,0.0,0.19,0.266
8.34,0.0,0.251,0.266
8.36,0.0,0.311,0.266
8.38,0.0,0.363,0.266
8.4,0.0,0.41,0.266
8.42,0.0,0.452,0.266
8.44,0.0,0.489,0.266
8.46,0.0,0.517,0.266
8.48,0.0,0.539,0.266
8.5,0.0,0.552,0.266
8.52,0.0,0.559,0.266
8.54,0.0,0.559,0.266
8.56,0.0,0.548,0.266
8.58,0.0,0.531,0.266
8.6,0.0,0.508,0.266
8.62,0.0,0.475,0.266
8.64,0.0,0.436,0.266
8.66,0.0,0.393,0.266
8.68,0.0,0.342,0.266
8.7,0.0,0.288,0.266
8.72,0.0,0.229,0.266
8.74,0.0,0.166,0.266
8.76,0.0,0.101,0.266
8.78,0.0,0.037,0.266
8.8,0.0,-0.03,0.266
8.82,0.0,-0.096,0.266
8.84,0.0,-0.159,0.266
8.86,0.0,-0.222,0.266
8.88,0.0,-0.281,0.266
8.9,0.0,-0.335,0.266
8.92,0.0,-0.384,0.266
8.94,0.0,-0.429,0.266
8.96,0.0,-0.468,0.266
8.98,0.0,-0.499,0.266
9.0,0.0,-0.525,0.266
9.02,0.0,-0.543,0.266
9.04,0.0,-0.552,0.266
9.06,0.0,-0.553,0.266
9.08,0.0,-0.55,0.266
9.1,0.0,-0.536,0.266
9.12,0.0,-0.515,0.266
9.14,0.0,-0.487,0.266
9.16,0.0,-0.452,0.266
9.18,0.0,-0.41,0.266
9.2,0.0,-0.363,0.266
9.22,0.0,-0.311,0.266
9.24,0.0,-0.253,0.266
9.26,0.0,-0.192,0.266
9.28,0.0,-0.129,0.266
9.3,0.0,-0.065,0.266
9.32,0.0,0.002,0.266
9.34,0.0,0.068,0.266
9.36,0.0,0.133,0.266
9.38,0.0,0.195,0.266
9.4,0.0,0.255,0.266
9.42,0.0,0.312,0.266
9.44,0.0,0.363,0.266
9.46,0.0,0.41,0.266
9.48,0.0,0.452,0.266
9.5,0.0,0.487,0.266
9.52,0.0,0.515,0.266
9.54,0.0,0.536,0.266
9.56,0.0,0.55,0.266
9.58,0.0,0.555,0.266
9.6,0.0,0.553,0.266
9.62,0.0,0.545,0.266
9.64,0.0,0.525,0.266
9.66,0.0,0.501,0.266
9.68,0.0,0.469,0.266
9.7,0.0,0.431,0.266
9.72,0.0,0.386,0.266
9.74,0.0,0.335,0.266
9.76,0.0,0.281,0.266
9.78,0.0,0.222,0.266
9.8,0.0,0.161,0.266
9.82,0.0,0.096,0.266
9.84,0.0,0.031,0.266
9.86,0.0,-0.035,0.266
9.88,0.0,-0.099,0.266
9.9,0.0,-0.162,0.266
9.92,0.0,-0.225,0.266
9.94,0.0,-0.283,0.266
9.96,0.0,-0.337,0.266
9.98,0.0,-0.386,0.266
10.0,0.0,-0.429,0.266
10.02,0.0,-0.468,0.266
10.04,0.0,-0.499,0.266
10.06,0.0,-0.522,0.266
10.08,0.0,-0.539,0.266
10.1,0.0,-0.548,0.266
10.12,0.0,-0.55,0.266
10.14,0.0,-0.545,0.266
10.16,0.0,-0.531,0.266
10.18,0.0,-0.51,0.266
10.2,0.0,-0.48,0.266
10.22,0.0,-0.445,0.266
10.24,0.0,-0.403,0.266
10.26,0.0,-0.356,0.266
10.28,0.0,-0.304,0.266
10.3,0.0,-0.246,0.266
10.32,0.0,-0.187,0.266
10.34,0.0,-0.124,0.266
10.36,0.0,-0.059,0.266
10.38,0.0,0.007,0.266
10.4,0.0,0.072,0.266
10.42,0.0,0.136,0.266
10.44,0.0,0.199,0.266
10.46,0.0,0.258,0.266
10.48,0.0,0.314,0.266
